Название подразделения;Верхнее подразделение
1. Административный департамент;52
1.1. Административный департамент;1
1.2. Договорной отдел;1
1.3. Общий отдел;1
1.4. Отдел закупок;1
1.5. Отдел протокольного сопровождения;1
1.6. Управление административно-хозяйственной деятельности;1
1.6.1. Отдел ИТ;7
1.6.2. Управление административно-хозяйственной деятельности;7
1.7. Управление безопасности;1
1.8. Управление по обеспечению безопасности;1
2. Академия Умные дороги;52
2.1. Академия Умные дороги;12
2.2. Отдел сетевых программ;12
2.3. Проектно-аналитический отдел;12
2.4. Учебно-организационный отдел;12
3. Аппарат управления;52
4. Департамент коммуникаций;52
4.1. Департамент коммуникаций;18
4.2. Управление по PR-проектам;18
4.2.1. Отдел по организации и сопровождению мероприятий;20
4.2.2. Отдел по работе с корпорациями;20
4.3. Управление Пресс-службы;18
4.3.1. Отдел по работе со СМИ;23
4.3.2. Отдел цифровых коммуникаций;23
4.3.3. Управление Пресс-службы;23
5. Департамент маркетинга и партнерских отношений;52
5.1. Департамент маркетинга и партнерских отношений;27
5.2. Управление маркетинга;27
5.2.1. Лицензионный отдел;29
5.2.2. Управление маркетинга;29
5.3. Управление по развитию бизнеса;27
5.3.1. Отдел по  привлечению новых клиентов;32
5.3.2. Отдел по организации мероприятий;32
5.4. Управление по развитию партнерских отношений;27
6. Департамент по организации корпоративов;52
7. Департамент по работе с персоналом;52
8. Департамент по работе с промышленностью;52
9. Департамент стратегии и планирования;52
9.1. Аналитический отдел;39
9.2. Отдел проектного управления;39
10. Управление Финансового планирования и контроля;52
11. Финансово-экономический департамент;52
11.1. Управление бухгалтерского и налогового учета;43
11.2. Управление казначейства;43
11.2.1. Операционный отдел;45
11.3. Финансово-экономический департамент;43
11.4. Финансово-экономическое управление;43
12. Юридический департамент;52
12.1. Управление нормативного обеспечения и договорной работы;49
12.2. Юридический департамент;49
Дороги России;null